accuracy,epoch,loss,step,train_accuracy_epoch,validation_accuracy
0.4375,2,1.5330698490142822,23549,,
0.375,2,1.7558993101119995,23599,,
0.28125,2,1.6237432956695557,23649,,
0.28125,2,1.5460091829299927,23699,,
0.40625,2,1.6054048538208008,23749,,
0.1875,2,1.617071509361267,23799,,
0.5,2,1.4850085973739624,23849,,
0.28125,2,1.6592164039611816,23899,,
0.21875,2,1.641855001449585,23949,,
0.5,2,1.373824119567871,23999,,
0.34375,2,1.6090760231018066,24049,,
0.375,2,1.5889689922332764,24099,,
0.21875,2,1.7381720542907715,24149,,
0.4375,2,1.2962747812271118,24199,,
0.375,2,1.610569953918457,24249,,
0.375,2,1.5915627479553223,24299,,
0.40625,2,1.447014331817627,24349,,
0.34375,2,1.4700087308883667,24399,,
0.375,2,1.6019774675369263,24449,,
0.34375,2,1.5886478424072266,24499,,
0.21875,2,1.5829156637191772,24549,,
0.375,2,1.5723074674606323,24599,,
0.34375,2,1.4943479299545288,24649,,
0.25,2,1.615377426147461,24699,,
0.28125,2,1.658652663230896,24749,,
0.40625,2,1.5068519115447998,24799,,
0.21875,2,1.5084391832351685,24849,,
0.3125,2,1.4670907258987427,24899,,
0.3125,2,1.5584132671356201,24949,,
0.34375,2,1.6251671314239502,24999,,
0.34375,2,1.3841614723205566,25049,,
0.3125,2,1.563891053199768,25099,,
0.40625,2,1.3971105813980103,25149,,
0.34375,2,1.7405498027801514,25199,,
0.15625,2,1.6581975221633911,25249,,
0.3125,2,1.7457841634750366,25299,,
0.21875,2,1.8627047538757324,25349,,
0.28125,2,1.5617451667785645,25399,,
0.3125,2,1.7052648067474365,25449,,
0.25,2,1.5131715536117554,25499,,
0.46875,2,1.6486467123031616,25549,,
0.375,2,1.5448859930038452,25599,,
0.28125,2,1.6665908098220825,25649,,
0.25,2,1.851099967956543,25699,,
0.34375,2,1.507869839668274,25749,,
0.3125,2,1.558026671409607,25799,,
0.3125,2,1.6230978965759277,25849,,
0.375,2,1.6193218231201172,25899,,
0.25,2,1.490132451057434,25949,,
0.34375,2,1.4600229263305664,25999,,
0.34375,2,1.4550926685333252,26049,,
0.40625,2,1.5141087770462036,26099,,
0.375,2,1.5742907524108887,26149,,
0.5,2,1.400963306427002,26199,,
0.53125,2,1.453580379486084,26249,,
0.34375,2,1.7121151685714722,26299,,
0.3125,2,1.5967743396759033,26349,,
0.40625,2,1.5585061311721802,26399,,
0.375,2,1.5906323194503784,26449,,
0.40625,2,1.7181487083435059,26499,,
0.28125,2,1.5631442070007324,26549,,
0.28125,2,1.5576872825622559,26599,,
0.1875,2,1.7036703824996948,26649,,
0.28125,2,1.646772861480713,26699,,
0.25,2,1.7204113006591797,26749,,
0.28125,2,1.53610098361969,26799,,
0.3125,2,1.6081023216247559,26849,,
0.25,2,1.6627204418182373,26899,,
0.34375,2,1.5983662605285645,26949,,
0.25,2,1.6964772939682007,26999,,
0.3125,2,1.6910403966903687,27049,,
0.4375,2,1.4902147054672241,27099,,
0.34375,2,1.5815263986587524,27149,,
0.3125,2,1.6547839641571045,27199,,
0.40625,2,1.459111213684082,27249,,
0.25,2,1.5148518085479736,27299,,
0.375,2,1.5920095443725586,27349,,
,2,,27353,,0.339283287525177
,2,,27353,0.3346496820449829,
